yahoo_ticker,sector,industry,quote_type,sector_source
NSM,,,MUTUALFUND,no_sector_in_info
NSRGY,Consumer Defensive,Packaged Foods,EQUITY,yfinance_info
NTAP,Technology,Software - Infrastructure,EQUITY,yfinance_info
NTDOY,Communication Services,Electronic Gaming & Multimedia,EQUITY,yfinance_info
NTES,Communication Services,Electronic Gaming & Multimedia,EQUITY,yfinance_info
NTRI,,,NONE,no_sector_in_info
NTRS,Financial Services,Asset Management,EQUITY,yfinance_info
NU,Financial Services,Banks - Regional,EQUITY,yfinance_info
NUAN,,,NONE,no_sector_in_info
NUE,Basic Materials,Steel,EQUITY,yfinance_info
NUS,Consumer Defensive,Household & Personal Products,EQUITY,yfinance_info
NVDA,Technology,Semiconductors,EQUITY,yfinance_info
NVLS,,,MUTUALFUND,no_sector_in_info
NVO,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
NVR,Consumer Cyclical,Residential Construction,EQUITY,yfinance_info
NVS,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
NVT,Industrials,Electrical Equipment & Parts,EQUITY,yfinance_info
NWG,Financial Services,Banks - Regional,EQUITY,yfinance_info
NWL,Consumer Defensive,Household & Personal Products,EQUITY,yfinance_info
NWS,Communication Services,Entertainment,EQUITY,yfinance_info
NWSA,Communication Services,Entertainment,EQUITY,yfinance_info
NXL,Healthcare,Medical Devices,EQUITY,yfinance_info
NXPI,Technology,Semiconductors,EQUITY,yfinance_info
NXTL,,,MUTUALFUND,no_sector_in_info
NYX,,,EQUITY,no_sector_in_info
OAS,,,NONE,no_sector_in_info
OCR,,,MUTUALFUND,no_sector_in_info
OHP,,,MUTUALFUND,no_sector_in_info
OI,Consumer Cyclical,Packaging & Containers,EQUITY,yfinance_info
OII,Energy,Oil & Gas Equipment & Services,EQUITY,yfinance_info
OIS,Energy,Oil & Gas Equipment & Services,EQUITY,yfinance_info
OKE,Energy,Oil & Gas Midstream,EQUITY,yfinance_info
OKTA,Technology,Software - Infrastructure,EQUITY,yfinance_info
