teacher_category,teacher_subcategory,exposure_dimension,holding_ticker,yahoo_ticker,holding_security_name,exclude_reason,holding_record_count,unique_portfolio_count,first_report_dt,last_report_dt,classification_confidence,interpretation,is_company_universe_ticker,is_individual_stock_like_removed,use_in_part5b_two_group
Bond / Credit / Money-related,Other money-related / fixed-income-like,Other money-related / manual review,GE,GE,General Electric Cap(Med Term,excluded_name_pattern:\bMED TERM\b,3,3,2003-06-30,2003-09-30,review,Excluded non-company holding not clearly identified as stock-fund-like; assigned to money/credit side for two-bucket analysis and flagged for review.,True,True,False
Bond / Credit / Money-related,Other money-related / fixed-income-like,Other money-related / manual review,GE,GE,General Electric Capital Corp,excluded_name_pattern:\bCAPITAL CORP\b,3,2,2003-06-30,2003-12-31,review,Excluded non-company holding not clearly identified as stock-fund-like; assigned to money/credit side for two-bucket analysis and flagged for review.,True,True,False
