teacher_category,excluded_item_count,holding_record_count,unique_portfolio_count,high_confidence_items,review_items,first_report_dt,last_report_dt
Bond / Credit / Money-related,10908,133019.0,22113.0,5506,5402,2002-09-30,2025-11-30
Equity Fund / Stock-fund-like,3017,101448.0,5682.0,1254,1763,2002-10-31,2025-11-30
